country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,record_keeping_ord,financial_formality_index,insurance_coverage_score,attitude_optimism_score,financial_access_score,has_insurance_bin,medical_insurance_bin,funeral_insurance_bin,motor_vehicle_insurance_bin,has_credit_card_bin,insurance_count,insurance_age,insurance_ratio,profit_margin,has_loan_account_bin,debt_ratio,age_country,owner_age_country_A,owner_age_country_B,owner_age_country_C,insurance_country,has_insurance_country_D,total_economic_capacity,cash_flow_ratio,credit_intensity,digital_finance_score,financial_strength_index,financial_access_country,high_compliance_record,insurance_country_weighted
A,41,Yes,No,No,No,No,6500.0,1000.0,1500.0,5.0,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",No,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,Unknown,2.0,Never had,Never had,Unknown,Never had,Never had,3.0,1,0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333331111111,0.0,0.0,41,41,0,0,0.0,0.0,8000.0,1.4985014985014986,1,0,1,1.0,0,0.0
A,42,Yes,No,No,Yes,No,4000.0,2500.0,4000.0,2.0,Never had,Never had,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",Yes,No,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,Unknown,3.0,Never had,Never had,Unknown,Never had,Never had,3.0,0,0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37499999990625,0.0,0.0,42,42,0,0,0.0,0.0,8000.0,1.599360255897641,1,0,1,0.0,0,0.0
B,22,Yes,No,No,No,No,250.0,50.0,250.0,1.0,Never had,Have now,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Don't know,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,Never had,Never had,0.0,1,0,1.25,2.0,,,,0.0,,0.0,0.0,0.0,0.7999999968,,0.0,44,0,22,0,,,500.0,4.901960784313726,0,0,1,0.9,0,0.0
A,55,Yes,Yes,Yes,No,Yes,1200.0,10000.0,25000.0,3.0,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,No,Don’t know or N/A,Yes,Yes,Have now,Never had,Have now,Unknown,6.0,Never had,Have now,Unknown,Never had,Never had,3.0,3,1,1.25,6.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,0.2,0.599999999976,1.0,0.00399999999984,55,55,0,0,0.0,0.0,26200.0,2.4997500249975,2,1,2,3.0,1,1.0
C,40,Don’t know or N/A,Don’t know or N/A,No,Don't know,Don't know,433000.0,110000.0,5200000.0,14.0,Unknown,Have now,No,Yes,Female,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Yes,No,Unknown,Don't know,No,No,Never had,Never had,Never had,No,,Unknown,Unknown,Yes,Used to have but don’t have now,Never had,1.0,1,0,0.25,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.9788461538459655,0.0,0.0,120,0,0,40,0.0,0.0,5633000.0,47.27229752456796,1,0,1,0.8,0,0.0
B,46,No,No,No,Yes,No,2000.0,300.0,3500.0,11.0,Never had,Have now,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,No,Used to have but don’t have now,Used to have but don’t have now,0.0,1,0,0.75,2.0,,,,0.0,,0.0,0.0,0.0,0.9142857140244899,,0.0,92,0,46,0,,,5500.0,11.627906976744185,0,0,1,0.9,0,0.0
D,45,Yes,No,No,No,Yes,2000.0,,,1.0,Never had,Unknown,Unknown,Yes,Male,No,Yes,Never had,"Yes, always",No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,0.0,Never had,Used to have but don’t have now,Yes,Unknown,Unknown,3.0,0,0,1.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,45.0,0.2,,,0.0,180,0,0,0,0.0,0.0,2000.0,,0,0,0,0.0,0,0.7
C,45,Yes,No,Yes,No,No,100000.0,75000.0,150000.0,15.0,Unknown,Never had,Yes,Yes,Male,No,Yes,Never had,Yes,No,Yes,Yes,Unknown,Yes,Yes,No,Never had,Never had,Never had,Yes,,Unknown,Unknown,Yes,Unknown,Unknown,2.0,0,0,1.75,0.0,1.0,,,,0.0,1.0,45.0,0.2,0.49999999999666667,0.0,0.0,135,0,0,45,3.0,0.0,250000.0,1.999973333688884,0,0,1,0.0,0,0.8
B,44,Yes,Yes,No,Yes,Yes,700.0,476.0,700.0,6.0,Never had,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,,Unknown,Unknown,Yes,Have now,Used to have but don’t have now,0.0,0,0,1.5,0.0,,,,0.0,,0.0,0.0,0.0,0.3199999995428571,,0.0,88,0,44,0,,,1400.0,1.4675052410901468,0,0,1,0.0,0,0.0
B,22,No,Don’t know or N/A,Don’t know,Don't know,Don't know,600.0,4500.0,6000.0,0.0,Never had,Have now,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Don't know,Yes,No,Yes,Unknown,Unknown,Unknown,Yes,,Unknown,Unknown,No,Unknown,Unknown,0.0,1,0,0.75,2.0,,,,0.0,,0.0,0.0,0.0,0.24999999995833333,,0.0,44,0,22,0,,,6600.0,1.3330371028660297,0,0,1,0.9,0,0.0
A,34,Yes,No,Yes,Yes,Yes,6000.0,2200.0,2800.0,5.0,Never had,Never had,0,Yes,Male,"Yes, always",Yes,Never had,"Yes, always",No,No,No,No,Yes,Unknown,Yes,Never had,Have now,Never had,Unknown,4.0,Never had,Have now,Unknown,Never had,Never had,3.0,1,1,1.75,2.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,0.2,0.2142857142091837,0.0,0.0,34,34,0,0,0.0,0.0,8800.0,1.2721490231712858,1,1,1,1.0,1,1.0
C,33,No,Yes,Yes,No,Yes,200000.0,100000.0,150000.0,2.0,Unknown,Have now,No,Yes,Male,No,Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,Unknown,Yes,Yes,No,Never had,Never had,Never had,No,,Unknown,Unknown,Yes,Unknown,Unknown,2.0,1,0,1.75,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.3333333333311111,0.0,0.0,99,0,0,33,0.0,0.0,350000.0,1.4999850001499986,0,0,1,0.8,0,0.0
B,20,Yes,No,No,No,Yes,1750.0,140.0,200.0,2.0,Never had,Have now,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Don't know,Yes,No,Unknown,Used to have but don’t have now,Have now,Have now,Unknown,,Unknown,Unknown,No,Used to have but don’t have now,Used to have but don’t have now,0.0,3,0,1.25,6.0,,,,0.0,,0.0,0.0,0.0,0.29999999850000003,0.0,0.0,40,0,20,0,,,1950.0,1.4184397163120568,0,2,2,2.7,0,0.0
D,25,Yes,Yes,No,Don't know,Don't know,400.0,1200.0,4200.0,2.0,Never had,Unknown,Unknown,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Don't know,Do not know / N‎/A,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,3.0,Never had,Never had,Yes,Unknown,Unknown,0.0,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857141156462,,0.0,100,0,0,0,0.0,0.0,4600.0,3.4970857618651126,1,0,1,0.0,0,0.0
D,21,Yes,No,No,No,Yes,150.0,5000.0,60000.0,4.0,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,0.0,Never had,Have now,Unknown,Unknown,Unknown,1.0,1,1,1.25,2.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,0.2,0.9166666666513889,,0.0,84,0,0,0,0.0,0.0,60150.0,11.997600479904019,1,0,1,0.7,0,0.7
A,57,No,Yes,Yes,No,No,40000.0,720000.0,8000000.0,37.0,Have now,Never had,Yes,Yes,Male,No,No,Never had,"Yes, always",No,Yes,Yes,Yes,No,Yes,Unknown,Never had,Have now,Have now,Unknown,8.0,Never had,Never had,Unknown,Have now,Never had,3.0,2,1,1.25,4.0,1.0,0.0,0.0,1.0,0.0,2.0,114.0,0.4,0.9099999999998862,0.0,0.0,57,57,0,0,1.0,0.0,8040000.0,11.11109567903378,0,2,2,2.0,1,2.0
C,30,Yes,Yes,No,Yes,No,100000.0,10000.0,20000.0,10.0,Unknown,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,No,Yes,No,Unknown,Yes,No,No,Have now,Never had,Never had,No,,Unknown,Unknown,Yes,Unknown,Unknown,1.0,2,0,2.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.499999999975,1.0,0.0049999999997499996,90,0,0,30,0.0,0.0,120000.0,1.9998000199980002,2,0,2,1.6,0,0.0
C,22,Yes,No,No,Don't know,Don't know,120000.0,700000.0,1440000.0,15.0,Unknown,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,Unknown,Yes,Yes,No,Never had,Never had,Never had,No,,Unknown,Unknown,Yes,Unknown,Unknown,1.0,1,0,1.75,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.513888888888532,0.0,0.0,66,0,0,22,0.0,0.0,1560000.0,2.0571399183715453,1,0,1,0.8,0,0.0
D,42,No,No,No,Don't know,Don't know,70.0,2400.0,3600.0,1.0,Never had,Unknown,Unknown,No,Female,"Yes, sometimes",No,Never had,No,Don't know,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,0.0,Never had,Never had,Unknown,Unknown,Unknown,1.0,0,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333324074077,,0.0,168,0,0,0,0.0,0.0,3670.0,1.499375260308205,1,0,1,0.0,0,0.0
A,73,No,No,Yes,Yes,Yes,1000.0,500.0,400.0,15.0,Never had,Have now,0,Yes,Male,No,Yes,Never had,"Yes, always",No,Yes,No,Yes,No,Unknown,Yes,Never had,Never had,Have now,Unknown,8.0,Never had,Have now,Unknown,Never had,Never had,3.0,2,1,1.25,4.0,0.0,0.0,1.0,0.0,0.0,1.0,73.0,0.2,-0.249999999375,0.0,0.0,73,73,0,0,0.0,0.0,1400.0,0.7984031936127745,0,1,0,2.0,1,1.0
A,31,No,No,Yes,No,No,7000.0,40000.0,75000.0,4.0,Never had,Have now,0,Yes,Male,"Yes, sometimes",No,Never had,"Yes, always",No,Yes,Yes,No,Yes,Yes,Unknown,Never had,Never had,Have now,Unknown,8.0,Have now,Have now,Unknown,Don’t know (Do not show),Don’t know (Do not show),3.0,2,2,1.25,4.0,1.0,1.0,1.0,0.0,0.0,3.0,93.0,0.6,0.4666666666604445,0.0,0.0,31,31,0,0,1.0,0.0,82000.0,1.8749531261718457,1,1,1,2.0,1,3.0
A,39,Yes,No,Yes,No,Yes,30000.0,220000.0,360000.0,5.0,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,Yes,Yes,Unknown,Unknown,Never had,Have now,Never had,Unknown,6.0,Never had,Never had,Unknown,Never had,Never had,3.0,2,0,1.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888888780865,0.0,0.0,39,39,0,0,0.0,0.0,390000.0,1.6363561983809165,1,1,1,2.0,1,0.0
A,53,Yes,Yes,No,No,Yes,1200.0,19000.0,43000.0,5.0,Never had,Have now,0,Yes,Male,No,Yes,Never had,No,No,Yes,No,No,Yes,Unknown,Yes,Never had,Never had,Never had,Unknown,3.0,Never had,Never had,Unknown,Never had,Never had,1.0,1,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558139534870741,0.0,0.0,53,53,0,0,0.0,0.0,44200.0,2.2630387874322406,0,0,1,1.0,0,0.0
D,28,Yes,Yes,No,No,No,200.0,4800.0,2400.0,3.0,Never had,Unknown,Unknown,Yes,Female,"Yes, sometimes",Yes,Never had,No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,5.0,Never had,Never had,Unknown,Unknown,Unknown,1.0,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999995833334,,0.0,112,0,0,0,0.0,0.0,2600.0,0.49989585503020206,1,0,0,0.0,0,0.0
D,37,Yes,No,Yes,No,Yes,464.0,2000.0,5579.0,6.0,Never had,Unknown,Yes,No,Female,"Yes, sometimes",Yes,Never had,"Yes, always",Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,0.0,Never had,Never had,Yes,Unknown,Unknown,3.0,0,0,1.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,37.0,0.2,0.6415128158018438,,0.0,148,0,0,0,4.0,1.0,6043.0,2.788105947026487,1,0,1,0.0,1,0.7
A,39,Yes,No,No,No,Yes,7000.0,180000.0,320000.0,3.0,Used to have but don’t have now,Have now,0,Yes,Male,No,Yes,Never had,"Yes, always",No,Yes,No,No,Yes,Unknown,Yes,Never had,Have now,Have now,Unknown,1.0,Never had,Have now,Unknown,Never had,Never had,3.0,3,1,1.75,6.0,0.0,0.0,1.0,1.0,0.0,2.0,78.0,0.4,0.4374999999986328,0.0,0.0,39,39,0,0,0.0,0.0,327000.0,1.7777679012894372,0,2,2,3.0,0,2.0
A,36,No,No,No,Yes,No,3000.0,3000.0,10000.0,2.0,Have now,Have now,0,Yes,Male,No,Yes,Never had,"Yes, always",Yes,Yes,No,Don't know,Yes,Yes,Unknown,Used to have but don’t have now,Have now,Have now,Unknown,3.0,Never had,Have now,Unknown,Used to have but don’t have now,Never had,3.0,3,2,1.5,6.0,0.0,0.0,1.0,1.0,0.0,2.0,72.0,0.4,0.69999999993,0.0,0.0,36,36,0,0,0.0,0.0,13000.0,3.332222592469177,0,2,2,3.0,0,2.0
D,31,No,Yes,No,Yes,Yes,80.0,600.0,1680.0,3.0,Never had,Unknown,Unknown,Yes,Female,"Yes, sometimes",No,Used to have but don’t have now,No,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,1.0,Used to have but don’t have now,Used to have but don’t have now,Unknown,Unknown,Unknown,1.0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,93.0,0.6,0.6428571424744898,,0.0,124,0,0,0,0.0,0.0,1760.0,2.7953410981697173,1,0,1,0.0,0,2.0999999999999996
C,26,No,No,No,No,Yes,40000.0,10000.0,15000.0,4.0,Unknown,Have now,No,Yes,Female,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,Unknown,Yes,Yes,No,Never had,Never had,Never had,No,,Unknown,Unknown,Yes,Unknown,Unknown,2.0,1,0,1.5,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.3333333333111111,0.0,0.0,78,0,0,26,0.0,0.0,55000.0,1.4998500149985001,1,0,1,0.8,0,0.0
C,41,Don’t know or N/A,Yes,No,Don't know,Don't know,216000.0,150000.0,2600000.0,2.0,Unknown,Used to have but don’t have now,Yes,Yes,Male,No,No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,Unknown,No,No,No,Never had,Never had,Never had,No,,Unknown,Unknown,Yes,Unknown,Unknown,1.0,0,0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.9423076923073299,0.0,0.0,123,0,0,41,0.0,0.0,2816000.0,17.333217778548143,0,0,1,0.0,0,0.0
D,50,Yes,No,No,No,Yes,600.0,,,15.0,Never had,Unknown,Unknown,No,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,0.0,Have now,Have now,Unknown,Unknown,Unknown,0.0,0,2,1.25,0.0,0.0,1.0,1.0,0.0,0.0,2.0,100.0,0.4,,,0.0,200,0,0,0,0.0,0.0,600.0,,1,0,0,0.0,0,1.4
C,36,No,Yes,No,Don't know,Yes,16000.0,40000.0,192000.0,3.0,Unknown,Never had,No,No,Female,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Yes,No,Unknown,Yes,Yes,No,Never had,Never had,Never had,No,,Unknown,Unknown,Yes,Unknown,Unknown,1.0,0,0,1.5,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.7916666666625434,0.0,0.0,108,0,0,36,0.0,0.0,208000.0,4.799880002999925,1,0,1,0.0,0,0.0
A,43,Yes,No,No,Yes,Yes,2500.0,48000.0,72000.0,8.0,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Yes,No,No,No,Yes,Yes,Yes,Never had,Never had,Have now,Unknown,2.0,Never had,Have now,Unknown,Never had,Never had,0.0,2,1,1.75,4.0,0.0,0.0,1.0,0.0,0.0,1.0,43.0,0.2,0.33333333332870374,0.0,0.0,43,43,0,0,0.0,0.0,74500.0,1.4999687506510282,1,1,1,2.0,0,1.0
D,21,Yes,Yes,No,Yes,Yes,,,,1.0,Never had,Unknown,Unknown,No,Female,No,Yes,Never had,No,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,0.0,Never had,Never had,Unknown,Unknown,Unknown,1.0,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,84,0,0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0
C,35,Don’t know or N/A,No,No,Yes,Yes,200000.0,72000.0,120000.0,3.0,Have now,Have now,Yes,Yes,Female,No,Yes,Never had,No,No,Yes,No,Unknown,Yes,Yes,No,Never had,Never had,Never had,Yes,,Used to have but don’t have now,Never had,Yes,Never had,Never had,1.0,1,1,1.25,2.0,0.0,1.0,0.0,1.0,0.0,2.0,70.0,0.4,0.3999999999966667,0.0,0.0,105,0,0,35,0.0,0.0,320000.0,1.6666435188400162,0,0,1,0.8,0,1.6
A,34,Yes,Yes,No,Yes,No,1200.0,250.0,1500.0,12.0,Never had,Never had,0,Yes,Female,"Yes, always",No,Never had,No,Yes,No,No,No,No,Unknown,Yes,Never had,Never had,Never had,Unknown,2.0,Never had,Never had,Unknown,Never had,Never had,1.0,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333327777778,0.0,0.0,34,34,0,0,0.0,0.0,2700.0,5.9760956175298805,1,0,1,0.0,0,0.0
C,34,No,Yes,Refused,Don't know,Don't know,3000000.0,28000000.0,34000000.0,12.0,Unknown,Have now,No,Yes,Male,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Yes,No,Unknown,Yes,Yes,No,Never had,Never had,Never had,Yes,,Unknown,Unknown,Yes,Unknown,Unknown,1.0,1,0,1.5,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.17647058823528894,0.0,0.0,102,0,0,34,0.0,0.0,37000000.0,1.214285670918369,1,0,1,0.8,0,0.0
A,37,Yes,No,No,Yes,Yes,8036.0,11000.0,19036.0,3.0,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,No,No,No,Yes,Yes,Yes,Never had,Never had,Never had,Unknown,11.0,Never had,Never had,Unknown,Never had,Never had,3.0,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4221475099589122,0.0,0.0,37,37,0,0,0.0,0.0,27072.0,1.7303881465321334,1,0,1,0.0,0,0.0
D,25,No,No,No,Don't know,Yes,50.0,720.0,1800.0,2.0,Never had,Unknown,Unknown,Yes,Female,No,No,Never had,No,Don't know,Do not know / N‎/A,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,2.0,Never had,Never had,Yes,Unknown,Unknown,1.0,0,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999996666666,,0.0,100,0,0,0,0.0,0.0,1850.0,2.496532593619972,0,0,1,0.0,0,0.0
C,42,Don’t know or N/A,No,No,Don't know,Yes,150000.0,80000.0,15000.0,5.0,Unknown,Have now,No,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,Yes,No,Unknown,Yes,Yes,No,Never had,Never had,Never had,Yes,,Unknown,Unknown,Yes,Unknown,Unknown,1.0,1,0,1.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,126,0,0,42,0.0,0.0,165000.0,0.18749765627929652,1,0,0,0.8,0,0.0
