ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target
ID_DITN5K,A,36,Yes,Yes,No,No,No,1500,1100,2500,3,Never had,Have now,0,Yes,Female,No,Yes,Never had,"Yes, sometimes",No,Yes,No,Yes,Yes,Yes,NA,Used to have but don’t have now,Never had,Never had,NA,2,Never had,Never had,NA,Never had,Never had,Low
ID_RNUTPC,D,41,Yes,No,No,No,Yes,200,2880,5400,4,Never had,NA,Yes,No,Male,No,Yes,Never had,"Yes, sometimes",No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,9,Used to have but don't have now,Used to have but don't have now,NA,NA,NA,Low
ID_AMNJ8P,B,47,Yes,No,No,Don't know,Yes,13000,15000,140000,6,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Yes,Have now,Have now,Have now,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_LCUFVJ,D,43,No,No,No,No,No,250,480,1080,4,Never had,NA,NA,Yes,Male,"Yes, always",No,Never had,"Yes, sometimes",No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,Yes,4,Never had,Never had,NA,NA,NA,Medium
ID_P1KFV4,D,32,Yes,Yes,Don’t know,No,Yes,350,NA,NA,6,Never had,NA,NA,No,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,No,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,NA,NA,NA,Low
ID_GMTQ0H,D,34,Yes,Yes,Don’t know,No,Yes,400,1800,2400,6,Have now,NA,NA,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",Don't know,Yes,No,No,NA,NA,NA,NA,NA,NA,No,7,Never had,Never had,NA,NA,NA,Medium
ID_TZK3NY,A,31,Yes,No,No,No,Yes,2000,60000,83250,4,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",No,Yes,No,No,Yes,Yes,NA,Never had,Never had,Have now,NA,9,Never had,Never had,NA,Have now,Never had,Low
ID_65R96K,A,36,Yes,Yes,No,Yes,Yes,2000,2500,5400,3,Never had,Have now,0,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,Yes,Yes,NA,Yes,Never had,Never had,Never had,NA,4,Never had,Never had,NA,Used to have but don’t have now,Never had,Low
ID_1AYAQR,C,28,Don’t know or N/A,Yes,No,Yes,Yes,80000,25000,10000,12,NA,Never had,No,No,Female,No,No,Never had,No,Yes,Don?t know / doesn?t apply,No,NA,Don't know,Yes,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,NA,NA,Low
ID_1PV9FA,D,57,Yes,No,No,No,Yes,1500,9600,18000,NA,Never had,NA,NA,Yes,Male,No,No,Never had,"Yes, always",No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,No,1,Never had,Never had,NA,NA,NA,Low
ID_84XYJO,A,32,Yes,Yes,No,No,Yes,7000,400,250,0,Never had,Never had,Yes,No,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",No,No,No,Don't know,Yes,Yes,Yes,Never had,Never had,Have now,NA,11,Have now,Have now,NA,Never had,Never had,Medium
ID_PQV6UU,D,20,Yes,No,No,No,Yes,80,480,960,4,Never had,NA,NA,Yes,Male,"Yes, sometimes",Yes,Never had,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,0,Never had,Never had,NA,NA,NA,Low
ID_Z9LPHU,C,51,Don’t know or N/A,Yes,No,Don't know,Don't know,60000,15000,35000,5,Never had,Have now,Yes,No,Male,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,Yes,Yes,No,Never had,Never had,Never had,No,NA,Never had,Never had,Yes,NA,NA,Low
ID_Q77YY5,D,28,Yes,No,No,No,No,150,1440,2400,7,Never had,NA,NA,Yes,Male,No,Yes,Never had,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,3,Never had,Never had,NA,NA,NA,Low
ID_NZ5X51,A,40,No,Yes,Yes,Yes,Yes,500,10000,15000,1,Never had,Never had,0,Yes,Female,No,No,Never had,No,Yes,No,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,NA,4,Never had,Never had,NA,Never had,Never had,Low
ID_29ASAJ,C,35,Don’t know or N/A,No,No,No,No,350000,170000,10000000,NA,NA,Have now,No,Yes,Female,"Yes, sometimes",No,Have now,Yes,No,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,Yes,5,NA,NA,No,Never had,Never had,Medium
ID_5YU3TT,C,37,Yes,No,No,Don't know,Don't know,700000,340000,8400000,NA,NA,Used to have but don't have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,Yes,3,NA,NA,Yes,NA,NA,Low
ID_LUUJ7K,C,20,Yes,No,No,Don't know,Yes,240000,1824000,2880000,2,NA,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,No,NA,NA,Medium
ID_7DXJ17,B,25,Yes,No,No,Don't know,Yes,500,400,500,1,Never had,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_3AH4EM,C,52,Don’t know or N/A,Yes,No,No,No,120000,85000,450000,8,NA,Never had,No,No,Male,No,No,Never had,No,No,Yes,No,NA,Don't know,No,No,Never had,Never had,Never had,Yes,NA,NA,NA,No,NA,NA,Low
ID_SYM7D0,C,39,Yes,No,No,No,No,600000,180000,50000,4,NA,Never had,No,Yes,Male,No,Yes,Never had,Yes,No,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,Yes,NA,NA,NA,No,NA,NA,Low
ID_1M3JLZ,A,41,No,No,No,Yes,Yes,2500,8760,57000,1,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,Yes,No,Don't know,Yes,NA,NA,Never had,Never had,Never had,NA,3,Never had,Never had,NA,Never had,Never had,Low
ID_YS0WI4,B,29,Yes,Yes,Don’t know,Yes,Yes,5000,800,1500,1,Never had,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,NA,NA,NA,Yes,NA,NA,NA,No,Never had,Never had,Low
ID_N42X2E,A,76,Yes,No,No,No,No,3000,40000,90000,30,Never had,Have now,0,Yes,Female,No,Yes,Never had,No,Yes,Yes,No,No,Yes,NA,Yes,Never had,Never had,Have now,NA,1,Never had,Never had,NA,Never had,Never had,Low
ID_Q3Q5PC,B,59,No,Yes,No,Don't know,Don't know,40,70,110,2,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_FTM6CM,D,41,Yes,No,No,No,Yes,250,1800,1200,4,Never had,Have now,NA,Yes,Female,No,Yes,Never had,No,Don't know,Yes,No,Yes,NA,NA,NA,NA,NA,NA,Yes,0,Never had,Never had,Yes,NA,NA,Low
ID_KK1R6L,B,33,Yes,Yes,Don’t know,Yes,Yes,4500,300,500,7,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_LCSVFX,D,36,No,Yes,No,Don't know,Don't know,30,250,400,13,Never had,NA,NA,No,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Don't know,Do not know / N‎/A,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,Yes,NA,NA,Low
ID_HEYCE4,A,39,Yes,Yes,Yes,No,Yes,1800,900,1800,7,Never had,Have now,Yes,Yes,Male,No,Yes,Never had,"Yes, sometimes",Yes,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,NA,11,Never had,Never had,NA,Never had,Never had,Low
ID_O5URTX,A,36,No,Yes,No,Yes,Yes,15000,90000,105000,0,Used to have but don’t have now,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,No,Yes,Yes,Yes,Never had,Have now,Never had,NA,7,Never had,Have now,NA,Used to have but don’t have now,Never had,High
ID_WNLEPH,B,18,Yes,Yes,No,No,Yes,30,70,200,3,Never had,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,NA,NA,NA,Yes,NA,NA,NA,No,Never had,Used to have but don't have now,Medium
ID_K3FN3L,D,82,No,No,No,Yes,Yes,100,1200,3000,30,Never had,NA,NA,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,NA,No,3,Never had,Never had,Yes,NA,NA,Low
ID_0ABGB8,B,35,No,Yes,No,No,No,3000,2000,3000,1,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_SXAAQF,D,51,Yes,No,No,Yes,Yes,70,540,840,21,Never had,NA,NA,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,No,2,Never had,Never had,NA,NA,NA,Low
ID_7A3B0C,D,38,Yes,No,No,Don't know,Don't know,400,54000,90000,2,Never had,NA,NA,Yes,Female,"Yes, sometimes",No,Never had,No,Don't know,Do not know / N‎/A,No,No,NA,NA,NA,NA,NA,NA,Yes,0,Never had,Never had,NA,NA,NA,Low
ID_IBRGE8,C,29,No,No,No,Yes,Yes,50000,80000,120000,NA,NA,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,Yes,6,NA,NA,Yes,Have now,Never had,Medium
ID_VHU4BA,A,67,Yes,Yes,No,Yes,Yes,500,350,50,15,Never had,Have now,0,Yes,Female,No,Yes,Never had,No,Yes,No,No,No,No,NA,NA,Never had,Never had,Never had,NA,5,Never had,Never had,NA,Never had,Used to have but don’t have now,Low
ID_YE5LLX,D,19,Yes,No,No,No,Yes,100,720,10800,0,Never had,NA,NA,Yes,Male,No,Yes,Never had,"Yes, sometimes",No,Yes,No,Don't know,NA,NA,NA,NA,NA,NA,No,3,Used to have but don't have now,Used to have but don't have now,NA,NA,NA,Low
ID_TPG7UV,C,25,Don’t know or N/A,No,No,Don't know,Don't know,500000,140000,6000000,NA,NA,Never had,No,Yes,Male,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,Yes,No,No,Never had,Never had,Never had,No,10,NA,NA,Yes,NA,NA,Low
ID_BLZZBL,D,27,Yes,No,No,Yes,Yes,25,120,180,0,Never had,NA,Yes,Yes,Female,No,No,Never had,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,3,Never had,Have now,Yes,NA,NA,Medium
ID_GQ3A7C,D,54,Yes,No,No,Yes,Yes,700,6000,18000,10,Never had,NA,NA,Yes,Male,No,No,Never had,"Yes, always",Yes,Yes,No,Yes,NA,NA,NA,NA,NA,NA,No,4,Never had,Never had,NA,NA,NA,Low
ID_G3MWU4,A,52,Yes,No,No,Yes,Yes,1500,1200,1500,1,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Used to have but don’t have now,NA,10,Never had,Have now,NA,Never had,Never had,Medium
ID_TIVEH8,C,23,Don’t know or N/A,No,No,Don't know,Don't know,1650000,1000000,1650000,10,NA,Never had,No,Yes,Male,No,Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,NA,NA,Low
ID_DR756S,B,63,No,Yes,No,Don't know,Yes,1000,600,1000,33,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Don't know,No,Yes,NA,NA,NA,Yes,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_D4KUC8,D,30,Yes,No,No,No,No,150,1080,3000,3,Never had,NA,NA,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,NA,NA,NA,Low
ID_X9MY4I,C,36,No,Yes,No,Don't know,Yes,590000,180000,540000,11,NA,Have now,No,Yes,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,Yes,NA,NA,NA,No,Have now,Never had,Low
ID_KHBEDB,C,55,Don’t know or N/A,Yes,No,Yes,No,140000,432000,560000,NA,NA,Never had,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,Yes,3,NA,NA,Yes,NA,NA,Low
ID_XKWQ0Y,A,33,No,No,No,Yes,Yes,2000,6650,16000,0,Never had,Have now,Yes,Yes,Female,No,Yes,Never had,"Yes, always",No,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,NA,1,Never had,Never had,NA,Have now,Never had,Low
ID_HLU8M8,A,32,Yes,No,No,Yes,Yes,450,350,950,0,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,No,No,No,No,Don't know,Yes,NA,Yes,Never had,Never had,Never had,NA,9,Never had,Never had,NA,Used to have but don’t have now,Never had,Low
ID_IJXM5L,B,59,Yes,No,Yes,No,Yes,150000,95000,100000,10,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,NA,Have now,Used to have but don't have now,Have now,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
ID_PUD6W0,C,33,No,No,No,No,No,700000,150000,675000,14,NA,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,Yes,No,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_E9ZWVI,C,47,Don’t know or N/A,Yes,No,Don't know,Don't know,10000,5000,8000,10,NA,Never had,No,No,Female,No,Yes,Never had,Yes,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,Don't know,Yes,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_7ODKEF,A,54,Yes,No,No,No,Yes,2800,2600,5000,2,Never had,Never had,0,Yes,Male,No,No,Never had,"Yes, sometimes",No,Yes,No,No,Yes,NA,Yes,Never had,Never had,Have now,NA,6,Never had,Never had,NA,Have now,Have now,Medium
ID_4R9V4K,A,50,No,No,No,Yes,Yes,6000,30000,60000,15,Never had,Never had,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Yes,No,No,Yes,Yes,Yes,Yes,Never had,Never had,Never had,NA,5,Never had,Never had,NA,Never had,Never had,Low
ID_NTBZ3M,A,36,Yes,Yes,No,No,Yes,2000,10000,35000,2,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,NA,6,Never had,Never had,NA,Never had,Never had,Low
ID_WUDRGT,B,46,Don’t know or N/A,No,No,No,No,5500,4500,10000,17,Never had,Have now,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_X4SVKK,D,38,No,Yes,No,No,Yes,50,360,960,3,Never had,NA,NA,Yes,Female,"Yes, sometimes",Yes,Never had,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,2,Never had,Never had,NA,NA,NA,Low
ID_AXTA8R,D,47,Yes,No,No,No,Yes,80,720,1800,1,Never had,Have now,NA,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,0,Never had,Have now,NA,NA,NA,Medium
ID_EFQJG0,A,55,Yes,Yes,No,No,Yes,70000,200000,420000,1,Never had,Have now,0,No,Male,"Yes, always",Yes,Never had,"Yes, sometimes",No,Yes,No,No,Yes,NA,Yes,Have now,Never had,Have now,NA,2,Never had,Never had,NA,Never had,Never had,High
ID_Z43XZ6,A,61,Yes,No,No,Yes,Yes,1000,1500,2500,11,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,No,No,No,Yes,Yes,Yes,Never had,Never had,Never had,NA,6,Never had,Have now,NA,Never had,Never had,Medium
ID_NRQ277,C,40,Don’t know or N/A,No,No,Don't know,Don't know,590000,150000,6000000,7,NA,Never had,No,No,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_ZWTY25,B,35,No,No,Yes,No,Yes,2000,5000,6000,2,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,Have now,Have now,Used to have but don't have now,NA,NA,NA,NA,No,Never had,Used to have but don't have now,Low
ID_OYHDOW,B,50,Yes,No,No,Don't know,Don't know,97,2000,13000,4,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Used to have but don't have now,Used to have but don't have now,Have now,NA,NA,NA,NA,Yes,Never had,Used to have but don't have now,Low
ID_PLBBB0,A,43,Yes,No,No,Yes,Yes,2500,48000,72000,8,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Yes,No,No,No,Yes,Yes,Yes,Never had,Never had,Have now,NA,2,Never had,Have now,NA,Never had,Never had,Medium
ID_8UE1MY,A,33,Yes,Yes,No,No,No,2600,5000,8000,5,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",No,No,No,No,Yes,Yes,Yes,Never had,Never had,Never had,NA,4,Never had,Never had,NA,Never had,Never had,Low
ID_G0AHWT,D,29,Yes,No,Don’t know,No,Yes,3500,1920,4200,2,Never had,NA,NA,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,3,Never had,Never had,Yes,NA,NA,Low
ID_46OOJJ,C,21,Don’t know or N/A,No,No,No,No,900000,20000,30000,NA,NA,Never had,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,2,NA,NA,Yes,NA,NA,Low
ID_6N6975,A,34,Yes,Yes,No,Yes,No,1500,1500,5000,5,Never had,Have now,Yes,Yes,Male,No,No,Never had,"Yes, always",Yes,Yes,No,Yes,Yes,NA,NA,Used to have but don’t have now,Have now,Used to have but don’t have now,NA,2,Never had,Have now,NA,Used to have but don’t have now,Never had,High
ID_OQUC0V,D,37,Yes,No,No,Yes,Yes,400,5000,5000,5,Never had,Have now,NA,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,2,Have now,Have now,NA,NA,NA,Medium
ID_THVYTG,D,36,No,No,No,No,Yes,100,780,1200,2,Never had,NA,NA,Yes,Male,No,No,Never had,"Yes, sometimes",No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,2,Never had,Never had,NA,NA,NA,Low
ID_QAW4TE,B,45,No,No,Yes,No,Don't know,500,6000,500,1,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_B4IBHI,A,37,Yes,No,No,Yes,Yes,200,800,1200,4,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,Yes,No,No,Yes,Yes,Yes,Yes,Never had,Never had,Never had,NA,8,Never had,Never had,NA,Never had,Have now,Low
ID_OQ7QH9,A,40,No,No,No,No,No,2500,4000,1000,5,Never had,Have now,0,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,No,Yes,NA,Yes,Never had,Never had,Have now,NA,8,Never had,Never had,NA,Never had,Never had,Low
ID_OKDZGE,C,31,Don’t know or N/A,Yes,No,Don't know,Yes,15000,9500,5000,8,NA,Have now,No,Yes,Female,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,NA,NA,Low
ID_2QLGDV,A,34,Yes,Yes,No,Yes,Yes,3000,500,5000,10,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",Yes,No,No,Yes,Yes,NA,Yes,Never had,Never had,Have now,NA,11,Never had,Never had,NA,Never had,Never had,Low
ID_L3RFJL,A,48,Yes,No,No,No,Yes,2600,3000,8000,1,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",Yes,No,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,NA,0,Never had,Have now,NA,Never had,Never had,Medium
ID_F9TXMJ,C,40,No,No,Yes,No,Yes,2300000,200000,12000000,5,NA,Have now,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,No,Yes,No,NA,Yes,No,No,Never had,Never had,Have now,No,NA,NA,NA,No,NA,NA,Low
ID_5TBDJG,B,43,No,No,No,Don't know,Yes,3500,1000,400,2,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Used to have but don't have now,Have now,Low
ID_NUP782,D,50,Yes,Yes,Don’t know,No,No,300,1800,3600,17,Never had,NA,NA,Yes,Male,"Yes, sometimes",Yes,Never had,No,No,No,No,Yes,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,NA,NA,NA,Low
ID_KH5840,A,46,No,No,No,No,Yes,5000,30000,120000,7,Never had,Have now,0,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,NA,5,Never had,Have now,NA,Used to have but don’t have now,Used to have but don’t have now,Medium
ID_K711UZ,B,36,Yes,No,No,No,Yes,6000,1000,1600,2,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,Have now,Used to have but don't have now,Used to have but don't have now,Yes,NA,NA,NA,No,Never had,Used to have but don't have now,Low
ID_LFVA6A,C,23,Don’t know or N/A,Yes,No,Don't know,Yes,150000,1100000,2300000,1,NA,Have now,No,Yes,Male,"Yes, sometimes",No,Never had,Yes,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,NA,Yes,Yes,No,Never had,Never had,Never had,Yes,NA,NA,NA,No,NA,NA,Low
